do, do, do
do, do, fa
do, do, la
do, do, mi
do, do, re
do, do, so
do, do, ti
do, fa, do
do, fa, fa
do, fa, la
do, fa, mi
do, fa, re
do, fa, so
do, fa, ti
do, la, do
do, la, fa
do, la, la
do, la, mi
do, la, re
do, la, so
do, la, ti
do, mi, do
do, mi, fa
do, mi, la
do, mi, mi
do, mi, re
do, mi, so
do, mi, ti
do, re, do
do, re, fa
do, re, la
do, re, mi
do, re, re
do, re, so
do, re, ti
do, so, do
do, so, fa
do, so, la
do, so, mi
do, so, re
do, so, so
do, so, ti
do, ti, do
do, ti, fa
do, ti, la
do, ti, mi
do, ti, re
do, ti, so
do, ti, ti
fa, do, do
fa, do, fa
fa, do, la
fa, do, mi
fa, do, re
fa, do, so
fa, do, ti
fa, fa, do
fa, fa, fa
fa, fa, la
fa, fa, mi
fa, fa, re
fa, fa, so
fa, fa, ti
fa, la, do
fa, la, fa
fa, la, la
fa, la, mi
fa, la, re
fa, la, so
fa, la, ti
fa, mi, do
fa, mi, fa
fa, mi, la
fa, mi, mi
fa, mi, re
fa, mi, so
fa, mi, ti
fa, re, do
fa, re, fa
fa, re, la
fa, re, mi
fa, re, re
fa, re, so
fa, re, ti
fa, so, do
fa, so, fa
fa, so, la
fa, so, mi
fa, so, re
fa, so, so
fa, so, ti
fa, ti, do
fa, ti, fa
fa, ti, la
fa, ti, mi
fa, ti, re
fa, ti, so
fa, ti, ti
la, do, do
la, do, fa
la, do, la
la, do, mi
la, do, re
la, do, so
la, do, ti
la, fa, do
la, fa, fa
la, fa, la
la, fa, mi
la, fa, re
la, fa, so
la, fa, ti
la, la, do
la, la, fa
la, la, la
la, la, mi
la, la, re
la, la, so
la, la, ti
la, mi, do
la, mi, fa
la, mi, la
la, mi, mi
la, mi, re
la, mi, so
la, mi, ti
la, re, do
la, re, fa
la, re, la
la, re, mi
la, re, re
la, re, so
la, re, ti
la, so, do
la, so, fa
la, so, la
la, so, mi
la, so, re
la, so, so
la, so, ti
la, ti, do
la, ti, fa
la, ti, la
la, ti, mi
la, ti, re
la, ti, so
la, ti, ti
mi, do, do
mi, do, fa
mi, do, la
mi, do, mi
mi, do, re
mi, do, so
mi, do, ti
mi, fa, do
mi, fa, fa
mi, fa, la
mi, fa, mi
mi, fa, re
mi, fa, so
mi, fa, ti
mi, la, do
mi, la, fa
mi, la, la
mi, la, mi
mi, la, re
mi, la, so
mi, la, ti
mi, mi, do
mi, mi, fa
mi, mi, la
mi, mi, mi
mi, mi, re
mi, mi, so
mi, mi, ti
mi, re, do
mi, re, fa
mi, re, la
mi, re, mi
mi, re, re
mi, re, so
mi, re, ti
mi, so, do
mi, so, fa
mi, so, la
mi, so, mi
mi, so, re
mi, so, so
mi, so, ti
mi, ti, do
mi, ti, fa
mi, ti, la
mi, ti, mi
mi, ti, re
mi, ti, so
mi, ti, ti
re, do, do
re, do, fa
re, do, la
re, do, mi
re, do, re
re, do, so
re, do, ti
re, fa, do
re, fa, fa
re, fa, la
re, fa, mi
re, fa, re
re, fa, so
re, fa, ti
re, la, do
re, la, fa
re, la, la
re, la, mi
re, la, re
re, la, so
re, la, ti
re, mi, do
re, mi, fa
re, mi, la
re, mi, mi
re, mi, re
re, mi, so
re, mi, ti
re, re, do
re, re, fa
re, re, la
re, re, mi
re, re, re
re, re, so
re, re, ti
re, so, do
re, so, fa
re, so, la
re, so, mi
re, so, re
re, so, so
re, so, ti
re, ti, do
re, ti, fa
re, ti, la
re, ti, mi
re, ti, re
re, ti, so
re, ti, ti
so, do, do
so, do, fa
so, do, la
so, do, mi
so, do, re
so, do, so
so, do, ti
so, fa, do
so, fa, fa
so, fa, la
so, fa, mi
so, fa, re
so, fa, so
so, fa, ti
so, la, do
so, la, fa
so, la, la
so, la, mi
so, la, re
so, la, so
so, la, ti
so, mi, do
so, mi, fa
so, mi, la
so, mi, mi
so, mi, re
so, mi, so
so, mi, ti
so, re, do
so, re, fa
so, re, la
so, re, mi
so, re, re
so, re, so
so, re, ti
so, so, do
so, so, fa
so, so, la
so, so, mi
so, so, re
so, so, so
so, so, ti
so, ti, do
so, ti, fa
so, ti, la
so, ti, mi
so, ti, re
so, ti, so
so, ti, ti
ti, do, do
ti, do, fa
ti, do, la
ti, do, mi
ti, do, re
ti, do, so
ti, do, ti
ti, fa, do
ti, fa, fa
ti, fa, la
ti, fa, mi
ti, fa, re
ti, fa, so
ti, fa, ti
ti, la, do
ti, la, fa
ti, la, la
ti, la, mi
ti, la, re
ti, la, so
ti, la, ti
ti, mi, do
ti, mi, fa
ti, mi, la
ti, mi, mi
ti, mi, re
ti, mi, so
ti, mi, ti
ti, re, do
ti, re, fa
ti, re, la
ti, re, mi
ti, re, re
ti, re, so
ti, re, ti
ti, so, do
ti, so, fa
ti, so, la
ti, so, mi
ti, so, re
ti, so, so
ti, so, ti
ti, ti, do
ti, ti, fa
ti, ti, la
ti, ti, mi
ti, ti, re
ti, ti, so
ti, ti, ti
