do, do, do, do, la, mi, so, so, so
do, do, do, fa, do, re, mi, so, re
do, do, do, fa, mi, la, so, fa, re
do, do, do, fa, ti, do, fa, fa, so
do, do, do, fa, ti, mi, mi, la, so
do, do, do, la, do, mi, do, so, do
do, do, do, la, la, so, mi, ti, fa
do, do, do, la, re, do, so, re, fa
do, do, do, mi, so, fa, re, ti, fa
do, do, do, mi, so, re, ti, la, do
do, do, do, mi, ti, fa, mi, fa, re
do, do, do, re, do, so, so, fa, fa
do, do, do, re, fa, re, mi, so, ti
do, do, do, re, la, la, mi, mi, so
do, do, do, re, la, la, re, ti, re
do, do, do, re, la, re, mi, do, fa
do, do, do, re, re, ti, mi, do, la
do, do, do, ti, do, ti, la, mi, ti
do, do, do, ti, mi, do, la, la, do
do, do, fa, do, fa, la, mi, mi, mi
do, do, fa, do, ti, do, la, ti, mi
do, do, fa, fa, la, fa, ti, re, ti
do, do, fa, fa, mi, re, fa, mi, so
do, do, fa, la, re, do, do, do, do
do, do, fa, mi, mi, re, mi, mi, do
do, do, fa, mi, so, mi, re, fa, ti
do, do, fa, mi, so, mi, ti, so, la
do, do, fa, re, do, fa, mi, so, do
do, do, fa, re, do, mi, fa, re, la
do, do, fa, so, mi, re, ti, do, fa
do, do, fa, so, ti, so, do, so, do
do, do, fa, ti, re, ti, do, fa, mi
do, do, fa, ti, so, fa, so, do, re
do, do, la, do, re, la, do, re, ti
do, do, la, do, re, so, re, so, do
do, do, la, do, ti, mi, re, so, fa
do, do, la, fa, la, do, fa, mi, fa
do, do, la, fa, mi, mi, ti, so, re
do, do, la, la, fa, la, so, fa, do
do, do, la, mi, fa, re, ti, so, so
do, do, la, mi, re, so, fa, ti, re
do, do, la, re, ti, so, re, ti, so
do, do, la, ti, fa, so, la, la, so
do, do, la, ti, la, ti, so, fa, do
do, do, la, ti, so, so, fa, do, mi
do, do, mi, do, la, mi, ti, re, ti
do, do, mi, do, so, do, la, so, re
do, do, mi, la, fa, so, do, fa, re
do, do, mi, la, mi, fa, fa, mi, mi
do, do, mi, la, re, do, fa, mi, so
do, do, mi, mi, so, re, mi, so, re
do, do, mi, re, so, mi, do, mi, la
do, do, mi, so, la, la, so, so, do
do, do, mi, ti, mi, so, mi, fa, la
do, do, mi, ti, re, fa, fa, la, fa
do, do, re, do, do, re, fa, do, la
do, do, re, do, la, fa, ti, mi, ti
do, do, re, do, mi, so, fa, la, re
do, do, re, fa, ti, fa, mi, do, so
do, do, re, fa, ti, so, fa, fa, do
do, do, re, mi, re, la, fa, ti, re
do, do, re, mi, ti, re, fa, mi, do
do, do, re, so, mi, re, fa, mi, re
do, do, re, so, re, re, re, so, do
do, do, re, ti, re, ti, ti, mi, do
do, do, so, do, so, la, fa, re, so
do, do, so, fa, fa, fa, mi, fa, fa
do, do, so, fa, so, la, fa, so, mi
do, do, so, fa, ti, la, fa, mi, do
do, do, so, la, do, mi, so, ti, so
do, do, so, mi, do, la, la, mi, re
do, do, so, mi, fa, mi, ti, re, ti
do, do, so, mi, mi, mi, la, ti, mi
do, do, so, re, fa, do, re, fa, ti
do, do, so, re, la, so, fa, mi, la
do, do, so, so, la, re, la, mi, so
do, do, so, so, mi, do, mi, re, mi
do, do, so, so, mi, ti, so, do, ti
do, do, so, ti, la, so, ti, do, do
do, do, ti, do, mi, re, ti, re, ti
do, do, ti, fa, mi, fa, do, re, do
do, do, ti, fa, re, re, do, la, fa
do, do, ti, fa, so, so, so, re, fa
do, do, ti, la, ti, so, ti, la, so
do, do, ti, mi, re, re, re, do, la
do, do, ti, mi, so, so, re, re, so
do, do, ti, so, do, re, fa, re, fa
do, do, ti, ti, fa, mi, la, do, mi
do, do, ti, ti, mi, re, ti, fa, la
do, do, ti, ti, mi, so, do, fa, re
do, do, ti, ti, ti, fa, so, ti, do
do, fa, do, do, so, la, fa, so, fa
do, fa, do, fa, la, re, re, fa, la
do, fa, do, fa, mi, so, re, re, re
do, fa, do, fa, ti, fa, ti, ti, fa
do, fa, do, la, do, ti, do, la, so
do, fa, do, mi, la, do, la, fa, la
do, fa, do, mi, so, re, mi, ti, fa
do, fa, do, so, so, la, do, fa, mi
do, fa, do, ti, fa, re, fa, do, do
do, fa, do, ti, re, re, re, la, so
do, fa, do, ti, re, ti, la, do, ti
do, fa, do, ti, so, do, ti, fa, la
do, fa, do, ti, ti, re, la, do, re
do, fa, fa, do, fa, re, ti, fa, ti
do, fa, fa, la, so, mi, re, la, re
do, fa, fa, la, ti, do, so, so, ti
do, fa, fa, mi, so, fa, re, re, ti
do, fa, fa, re, mi, la, la, re, mi
do, fa, fa, so, mi, so, mi, re, la
do, fa, fa, so, so, ti, la, so, ti
do, fa, fa, ti, la, mi, do, fa, ti
do, fa, fa, ti, so, mi, fa, mi, ti
do, fa, la, do, fa, mi, so, so, so
do, fa, la, do, la, so, ti, la, so
do, fa, la, do, mi, mi, mi, so, do
do, fa, la, la, la, mi, re, re, re
do, fa, la, mi, do, do, mi, do, do
do, fa, la, mi, do, do, re, so, ti
do, fa, la, mi, mi, la, la, la, ti
do, fa, la, re, la, so, do, la, so
do, fa, la, so, do, fa, ti, ti, re
do, fa, la, so, re, re, ti, so, re
do, fa, la, so, ti, re, so, la, la
do, fa, mi, do, re, la, ti, re, re
do, fa, mi, do, re, mi, ti, so, re
do, fa, mi, fa, fa, la, mi, la, ti
do, fa, mi, la, re, mi, so, mi, mi
do, fa, mi, mi, fa, mi, ti, do, do
do, fa, mi, mi, mi, so, re, la, do
do, fa, mi, mi, so, do, re, la, mi
do, fa, mi, re, mi, do, fa, do, ti
do, fa, mi, so, fa, fa, do, la, fa
do, fa, mi, so, la, mi, do, fa, re
do, fa, mi, so, la, ti, mi, so, so
do, fa, mi, ti, fa, ti, ti, do, fa
do, fa, mi, ti, la, so, so, re, mi
do, fa, mi, ti, re, do, mi, so, re
do, fa, mi, ti, re, ti, la, so, fa
do, fa, re, do, fa, ti, mi, so, so
do, fa, re, do, re, do, la, la, la
do, fa, re, fa, do, fa, so, so, la
do, fa, re, fa, la, mi, mi, la, re
do, fa, re, fa, mi, la, mi, ti, fa
do, fa, re, la, fa, la, la, re, la
do, fa, re, la, mi, ti, so, ti, so
do, fa, re, la, re, re, la, fa, fa
do, fa, re, mi, mi, mi, so, do, la
do, fa, re, mi, re, so, ti, do, do
do, fa, re, re, fa, la, so, fa, fa
do, fa, re, re, re, so, la, re, re
do, fa, re, re, so, la, do, re, mi
do, fa, re, re, so, re, ti, so, re
do, fa, re, re, so, ti, so, mi, re
do, fa, re, so, fa, so, do, ti, so
do, fa, re, so, la, so, so, so, mi
do, fa, re, so, re, la, re, re, ti
do, fa, re, ti, fa, la, mi, re, so
do, fa, re, ti, la, mi, re, fa, ti
do, fa, re, ti, mi, la, ti, ti, do
do, fa, re, ti, re, mi, do, mi, ti
do, fa, re, ti, so, fa, mi, re, mi
do, fa, so, do, fa, do, so, ti, re
do, fa, so, do, fa, re, mi, la, ti
do, fa, so, do, la, la, ti, mi, fa
do, fa, so, do, mi, fa, do, la, do
do, fa, so, fa, do, fa, ti, la, so
do, fa, so, fa, mi, fa, re, re, so
do, fa, so, fa, re, fa, fa, ti, la
do, fa, so, fa, re, la, re, do, fa
do, fa, so, fa, re, mi, re, mi, ti
do, fa, so, fa, re, mi, re, ti, fa
do, fa, so, la, re, so, fa, ti, so
do, fa, so, la, re, ti, re, la, re
do, fa, so, mi, do, do, la, do, mi
do, fa, so, mi, ti, ti, mi, so, re
do, fa, so, re, do, re, la, la, mi
do, fa, so, re, fa, do, ti, ti, fa
do, fa, so, re, fa, re, re, mi, re
do, fa, so, so, la, do, fa, do, fa
do, fa, so, so, la, ti, mi, la, la
do, fa, so, so, so, fa, mi, ti, ti
do, fa, so, so, ti, fa, ti, fa, mi
do, fa, ti, do, do, do, ti, do, mi
do, fa, ti, do, re, fa, mi, do, re
do, fa, ti, do, so, ti, fa, fa, so
do, fa, ti, fa, do, do, la, do, fa
do, fa, ti, fa, ti, fa, fa, re, la
do, fa, ti, la, do, re, do, mi, re
do, fa, ti, la, re, do, re, do, mi
do, fa, ti, mi, do, do, la, fa, re
do, fa, ti, mi, la, la, re, la, do
do, fa, ti, mi, ti, fa, so, ti, re
do, fa, ti, re, do, ti, fa, ti, do
do, fa, ti, re, la, mi, re, ti, re
do, fa, ti, re, mi, fa, re, ti, ti
do, fa, ti, re, so, fa, so, la, la
do, fa, ti, re, ti, do, la, do, so
