do, do, do, do
do, do, do, fa
do, do, do, la
do, do, do, mi
do, do, do, re
do, do, do, so
do, do, fa, do
do, do, fa, fa
do, do, fa, la
do, do, fa, re
do, do, fa, ti
do, do, la, fa
do, do, la, la
do, do, la, mi
do, do, la, re
do, do, la, so
do, do, mi, do
do, do, mi, fa
do, do, mi, la
do, do, mi, mi
do, do, mi, re
do, do, mi, so
do, do, re, do
do, do, re, fa
do, do, re, mi
do, do, re, re
do, do, re, so
do, do, re, ti
do, do, so, fa
do, do, so, la
do, do, so, mi
do, do, so, re
do, do, so, ti
do, do, ti, do
do, do, ti, fa
do, do, ti, mi
do, do, ti, re
do, do, ti, so
do, do, ti, ti
do, fa, do, do
do, fa, do, fa
do, fa, do, la
do, fa, do, mi
do, fa, do, re
do, fa, do, so
do, fa, do, ti
do, fa, fa, do
do, fa, fa, fa
do, fa, fa, la
do, fa, fa, re
do, fa, fa, so
do, fa, fa, ti
do, fa, la, do
do, fa, la, fa
do, fa, la, la
do, fa, la, mi
do, fa, la, re
do, fa, la, ti
do, fa, mi, do
do, fa, mi, fa
do, fa, mi, la
do, fa, mi, re
do, fa, mi, so
do, fa, re, do
do, fa, re, fa
do, fa, re, re
do, fa, re, so
do, fa, re, ti
do, fa, so, do
do, fa, so, la
do, fa, so, mi
do, fa, so, re
do, fa, so, so
do, fa, so, ti
do, fa, ti, do
do, fa, ti, fa
do, fa, ti, la
do, fa, ti, mi
do, fa, ti, re
do, fa, ti, so
do, fa, ti, ti
do, la, do, do
do, la, do, fa
do, la, do, la
do, la, do, re
do, la, do, so
do, la, do, ti
do, la, fa, fa
do, la, fa, la
do, la, fa, mi
do, la, fa, re
do, la, fa, so
do, la, fa, ti
do, la, la, do
do, la, la, la
do, la, la, mi
do, la, la, so
do, la, mi, do
do, la, mi, fa
do, la, mi, la
do, la, mi, mi
do, la, mi, re
do, la, mi, so
do, la, mi, ti
do, la, re, do
do, la, re, fa
do, la, re, la
do, la, re, mi
do, la, re, re
do, la, re, so
do, la, re, ti
do, la, so, fa
do, la, so, la
do, la, so, mi
do, la, so, re
do, la, so, so
do, la, so, ti
do, la, ti, do
do, la, ti, fa
do, la, ti, la
do, la, ti, mi
do, la, ti, re
do, la, ti, so
do, la, ti, ti
do, mi, do, do
do, mi, do, fa
do, mi, do, mi
do, mi, do, re
do, mi, do, so
do, mi, do, ti
do, mi, fa, do
do, mi, fa, fa
do, mi, fa, la
do, mi, fa, mi
do, mi, fa, re
do, mi, fa, so
do, mi, la, fa
do, mi, la, la
do, mi, la, re
do, mi, la, ti
do, mi, mi, do
do, mi, mi, fa
do, mi, mi, la
do, mi, mi, mi
do, mi, mi, re
do, mi, mi, so
do, mi, re, do
do, mi, re, fa
do, mi, re, la
do, mi, re, re
do, mi, re, so
do, mi, re, ti
do, mi, so, do
do, mi, so, fa
do, mi, so, la
do, mi, so, mi
do, mi, so, re
do, mi, so, so
do, mi, so, ti
do, mi, ti, do
do, mi, ti, fa
do, mi, ti, la
do, mi, ti, mi
do, mi, ti, re
do, mi, ti, ti
do, re, do, do
do, re, do, fa
do, re, do, la
do, re, do, mi
do, re, do, re
do, re, do, so
do, re, do, ti
do, re, fa, do
do, re, fa, fa
do, re, fa, la
do, re, fa, mi
do, re, fa, re
do, re, fa, so
do, re, fa, ti
do, re, la, fa
do, re, la, la
do, re, la, mi
do, re, la, re
do, re, la, so
do, re, la, ti
do, re, mi, do
do, re, mi, fa
do, re, mi, mi
do, re, mi, re
do, re, mi, so
do, re, mi, ti
do, re, re, do
do, re, re, fa
do, re, re, la
do, re, re, mi
do, re, re, re
do, re, re, so
do, re, re, ti
do, re, so, fa
do, re, so, la
do, re, so, mi
do, re, so, re
do, re, so, so
do, re, ti, do
do, re, ti, fa
do, re, ti, la
do, re, ti, mi
do, re, ti, so
do, so, do, do
do, so, do, fa
do, so, do, la
do, so, do, mi
do, so, do, re
do, so, do, so
do, so, do, ti
do, so, fa, do
do, so, fa, fa
do, so, fa, mi
do, so, fa, re
do, so, fa, so
do, so, fa, ti
do, so, la, do
do, so, la, la
do, so, la, mi
do, so, la, re
do, so, la, so
do, so, la, ti
do, so, mi, fa
do, so, mi, la
do, so, mi, mi
do, so, mi, re
do, so, mi, so
do, so, mi, ti
do, so, re, do
do, so, re, fa
do, so, re, la
do, so, re, mi
do, so, re, re
do, so, re, so
do, so, re, ti
do, so, so, do
do, so, so, fa
do, so, so, la
do, so, so, mi
do, so, so, re
do, so, so, so
do, so, so, ti
do, so, ti, do
do, so, ti, fa
do, so, ti, la
do, so, ti, mi
do, so, ti, re
do, so, ti, so
do, so, ti, ti
do, ti, do, do
do, ti, do, fa
do, ti, do, mi
do, ti, do, re
do, ti, do, so
do, ti, do, ti
do, ti, fa, do
do, ti, fa, fa
do, ti, fa, la
do, ti, fa, mi
do, ti, fa, re
do, ti, fa, so
do, ti, fa, ti
do, ti, la, do
do, ti, la, fa
do, ti, la, la
do, ti, la, mi
do, ti, la, re
do, ti, la, so
do, ti, la, ti
do, ti, mi, do
do, ti, mi, la
do, ti, mi, mi
do, ti, mi, re
do, ti, mi, so
do, ti, mi, ti
do, ti, re, fa
do, ti, re, la
do, ti, re, mi
do, ti, re, re
do, ti, re, so
do, ti, re, ti
do, ti, so, do
do, ti, so, fa
do, ti, so, la
do, ti, so, mi
do, ti, so, re
do, ti, so, so
do, ti, so, ti
do, ti, ti, fa
do, ti, ti, la
do, ti, ti, mi
do, ti, ti, re
do, ti, ti, so
do, ti, ti, ti
fa, do, do, do
fa, do, do, fa
fa, do, do, mi
fa, do, do, re
fa, do, do, so
fa, do, do, ti
fa, do, fa, do
fa, do, fa, fa
fa, do, fa, la
fa, do, fa, mi
fa, do, fa, re
fa, do, fa, so
fa, do, fa, ti
fa, do, la, do
fa, do, la, fa
fa, do, la, la
fa, do, la, mi
fa, do, la, re
fa, do, la, so
fa, do, la, ti
fa, do, mi, do
fa, do, mi, fa
fa, do, mi, la
fa, do, mi, mi
fa, do, mi, re
fa, do, mi, so
fa, do, mi, ti
fa, do, re, do
fa, do, re, la
fa, do, re, mi
fa, do, re, re
fa, do, re, so
fa, do, re, ti
fa, do, so, do
fa, do, so, fa
fa, do, so, la
fa, do, so, mi
fa, do, so, re
fa, do, so, so
fa, do, ti, fa
fa, do, ti, mi
fa, do, ti, re
fa, do, ti, so
fa, do, ti, ti
fa, fa, do, fa
fa, fa, do, la
fa, fa, do, mi
fa, fa, do, re
fa, fa, do, so
fa, fa, do, ti
fa, fa, fa, do
fa, fa, fa, fa
fa, fa, fa, la
fa, fa, fa, mi
fa, fa, fa, so
fa, fa, fa, ti
fa, fa, la, do
fa, fa, la, fa
fa, fa, la, la
fa, fa, la, mi
fa, fa, la, re
fa, fa, la, so
fa, fa, la, ti
fa, fa, mi, do
fa, fa, mi, fa
fa, fa, mi, la
fa, fa, mi, mi
fa, fa, mi, re
fa, fa, mi, so
fa, fa, mi, ti
fa, fa, re, do
fa, fa, re, la
fa, fa, re, mi
fa, fa, re, re
fa, fa, re, so
fa, fa, re, ti
fa, fa, so, do
fa, fa, so, fa
fa, fa, so, la
fa, fa, so, mi
fa, fa, so, re
fa, fa, so, so
fa, fa, ti, do
fa, fa, ti, fa
fa, fa, ti, la
fa, fa, ti, mi
fa, fa, ti, re
fa, fa, ti, so
fa, la, do, do
fa, la, do, fa
fa, la, do, la
fa, la, do, mi
fa, la, do, re
fa, la, do, so
fa, la, do, ti
fa, la, fa, do
fa, la, fa, fa
fa, la, fa, la
fa, la, fa, mi
fa, la, fa, re
fa, la, fa, so
fa, la, fa, ti
fa, la, la, do
fa, la, la, fa
fa, la, la, la
fa, la, la, mi
fa, la, la, re
fa, la, la, so
fa, la, la, ti
fa, la, mi, do
fa, la, mi, fa
fa, la, mi, la
fa, la, mi, mi
fa, la, mi, re
fa, la, mi, so
fa, la, mi, ti
fa, la, re, fa
fa, la, re, la
fa, la, re, re
fa, la, re, so
fa, la, re, ti
fa, la, so, do
fa, la, so, fa
fa, la, so, la
fa, la, so, mi
fa, la, so, re
fa, la, so, so
fa, la, so, ti
fa, la, ti, do
fa, la, ti, fa
fa, la, ti, la
fa, la, ti, mi
fa, la, ti, re
fa, la, ti, so
fa, la, ti, ti
fa, mi, do, fa
fa, mi, do, la
fa, mi, do, mi
fa, mi, do, re
fa, mi, do, so
fa, mi, do, ti
fa, mi, fa, do
fa, mi, fa, fa
fa, mi, fa, la
fa, mi, fa, mi
fa, mi, fa, re
fa, mi, fa, so
fa, mi, la, do
fa, mi, la, fa
fa, mi, la, mi
fa, mi, la, re
fa, mi, la, ti
fa, mi, mi, do
fa, mi, mi, fa
fa, mi, mi, la
fa, mi, mi, re
fa, mi, mi, so
fa, mi, mi, ti
fa, mi, re, do
fa, mi, re, fa
fa, mi, re, mi
fa, mi, re, so
fa, mi, re, ti
fa, mi, so, fa
fa, mi, so, la
fa, mi, so, mi
fa, mi, so, re
fa, mi, so, so
fa, mi, so, ti
fa, mi, ti, do
fa, mi, ti, fa
fa, mi, ti, la
fa, mi, ti, mi
fa, mi, ti, re
fa, mi, ti, so
fa, mi, ti, ti
fa, re, do, fa
fa, re, do, la
fa, re, do, mi
fa, re, do, re
fa, re, do, so
fa, re, do, ti
fa, re, fa, do
fa, re, fa, fa
fa, re, fa, la
fa, re, fa, mi
fa, re, fa, re
fa, re, fa, so
fa, re, fa, ti
fa, re, la, do
fa, re, la, fa
fa, re, la, mi
fa, re, la, re
fa, re, la, so
fa, re, mi, do
fa, re, mi, fa
fa, re, mi, la
fa, re, mi, mi
fa, re, mi, re
fa, re, mi, ti
fa, re, re, do
fa, re, re, fa
fa, re, re, re
fa, re, re, so
fa, re, re, ti
fa, re, so, do
fa, re, so, fa
fa, re, so, la
fa, re, so, mi
fa, re, so, re
fa, re, so, ti
fa, re, ti, do
fa, re, ti, fa
fa, re, ti, la
fa, re, ti, mi
fa, re, ti, so
fa, re, ti, ti
fa, so, do, do
fa, so, do, fa
fa, so, do, la
fa, so, do, mi
fa, so, do, re
fa, so, do, so
fa, so, do, ti
fa, so, fa, do
fa, so, fa, fa
fa, so, fa, la
fa, so, fa, re
fa, so, fa, so
fa, so, fa, ti
fa, so, la, do
fa, so, la, fa
fa, so, la, la
fa, so, la, mi
fa, so, la, re
fa, so, la, so
fa, so, la, ti
fa, so, mi, do
fa, so, mi, fa
fa, so, mi, la
fa, so, mi, so
fa, so, mi, ti
fa, so, re, do
fa, so, re, fa
fa, so, re, mi
fa, so, re, re
fa, so, re, so
fa, so, re, ti
fa, so, so, do
fa, so, so, la
fa, so, so, mi
fa, so, so, re
fa, so, so, so
fa, so, ti, do
fa, so, ti, fa
fa, so, ti, la
fa, so, ti, mi
fa, so, ti, re
fa, so, ti, so
fa, so, ti, ti
fa, ti, do, do
fa, ti, do, fa
fa, ti, do, la
fa, ti, do, mi
fa, ti, do, re
fa, ti, do, ti
fa, ti, fa, do
fa, ti, fa, fa
fa, ti, fa, la
fa, ti, fa, mi
fa, ti, fa, re
fa, ti, fa, ti
fa, ti, la, do
fa, ti, la, fa
fa, ti, la, la
fa, ti, la, mi
fa, ti, la, re
fa, ti, la, so
fa, ti, la, ti
fa, ti, mi, do
fa, ti, mi, la
fa, ti, mi, mi
fa, ti, mi, re
fa, ti, mi, ti
fa, ti, re, do
fa, ti, re, fa
fa, ti, re, la
fa, ti, re, mi
fa, ti, re, re
fa, ti, re, so
fa, ti, re, ti
fa, ti, so, do
fa, ti, so, fa
fa, ti, so, la
fa, ti, so, mi
fa, ti, so, re
fa, ti, so, so
fa, ti, so, ti
fa, ti, ti, do
fa, ti, ti, fa
fa, ti, ti, la
fa, ti, ti, re
fa, ti, ti, so
la, do, do, do
la, do, do, fa
la, do, do, la
la, do, do, mi
la, do, do, re
la, do, do, so
la, do, do, ti
la, do, fa, fa
la, do, fa, la
la, do, fa, mi
la, do, fa, re
la, do, fa, so
la, do, fa, ti
la, do, la, do
la, do, la, fa
la, do, la, la
la, do, la, mi
la, do, la, re
la, do, la, so
la, do, la, ti
la, do, mi, do
la, do, mi, fa
la, do, mi, la
la, do, mi, mi
la, do, mi, re
la, do, mi, ti
la, do, re, do
la, do, re, fa
la, do, re, mi
la, do, re, re
la, do, re, so
la, do, so, do
la, do, so, fa
la, do, so, la
la, do, so, mi
la, do, so, re
la, do, so, ti
la, do, ti, do
la, do, ti, fa
la, do, ti, la
la, do, ti, mi
la, do, ti, re
la, do, ti, so
la, do, ti, ti
la, fa, do, do
la, fa, do, fa
la, fa, do, la
