do, do, do, fa, la
do, do, do, fa, ti
do, do, do, la, mi
do, do, do, la, re
do, do, do, la, ti
do, do, do, mi, la
do, do, do, mi, re
do, do, do, re, fa
do, do, do, re, mi
do, do, do, so, re
do, do, do, ti, fa
do, do, do, ti, ti
do, do, fa, do, do
do, do, fa, fa, ti
do, do, fa, la, mi
do, do, fa, la, re
do, do, fa, la, ti
do, do, fa, mi, mi
do, do, fa, mi, ti
do, do, fa, re, fa
do, do, fa, re, ti
do, do, fa, so, do
do, do, fa, so, re
do, do, fa, ti, fa
do, do, la, do, mi
do, do, la, do, ti
do, do, la, la, mi
do, do, la, mi, so
do, do, la, re, fa
do, do, la, re, ti
do, do, la, so, do
do, do, la, so, ti
do, do, la, ti, do
do, do, la, ti, fa
do, do, la, ti, re
do, do, mi, do, fa
do, do, mi, do, la
do, do, mi, do, so
do, do, mi, fa, do
do, do, mi, la, fa
do, do, mi, mi, re
do, do, mi, mi, ti
do, do, mi, so, fa
do, do, mi, ti, do
do, do, mi, ti, ti
do, do, re, do, do
do, do, re, do, ti
do, do, re, fa, fa
do, do, re, fa, re
do, do, re, la, do
do, do, re, la, fa
do, do, re, mi, do
do, do, re, mi, fa
do, do, re, re, so
do, do, re, so, do
do, do, re, ti, re
do, do, re, ti, so
do, do, so, do, mi
do, do, so, do, re
do, do, so, fa, do
do, do, so, fa, la
do, do, so, la, do
do, do, so, la, fa
do, do, so, la, la
do, do, so, la, re
do, do, so, la, so
do, do, so, la, ti
do, do, so, so, fa
do, do, ti, fa, la
do, do, ti, fa, mi
do, do, ti, fa, re
do, do, ti, fa, so
do, do, ti, fa, ti
do, do, ti, la, do
do, do, ti, la, fa
do, do, ti, la, so
do, do, ti, mi, do
do, do, ti, mi, fa
do, do, ti, mi, mi
do, do, ti, re, fa
do, do, ti, so, do
do, do, ti, ti, fa
do, do, ti, ti, so
do, do, ti, ti, ti
do, fa, do, do, la
do, fa, do, fa, do
do, fa, do, fa, la
do, fa, do, mi, fa
do, fa, do, mi, so
do, fa, do, mi, ti
do, fa, do, re, do
do, fa, do, re, fa
do, fa, do, re, la
do, fa, do, re, so
do, fa, do, so, do
do, fa, do, so, fa
do, fa, do, so, mi
do, fa, do, ti, mi
do, fa, do, ti, ti
do, fa, fa, do, do
do, fa, fa, do, mi
do, fa, fa, do, re
do, fa, fa, do, so
do, fa, fa, la, la
do, fa, fa, la, so
do, fa, fa, la, ti
do, fa, fa, re, re
do, fa, fa, re, ti
do, fa, fa, so, fa
do, fa, fa, so, la
do, fa, fa, ti, fa
do, fa, fa, ti, la
do, fa, fa, ti, mi
do, fa, fa, ti, so
do, fa, la, do, la
do, fa, la, do, mi
do, fa, la, do, re
do, fa, la, do, so
do, fa, la, do, ti
do, fa, la, fa, la
do, fa, la, fa, ti
do, fa, la, la, re
do, fa, la, mi, so
do, fa, la, re, ti
do, fa, la, so, do
do, fa, la, ti, do
do, fa, la, ti, fa
do, fa, la, ti, so
do, fa, mi, do, fa
do, fa, mi, do, mi
do, fa, mi, do, re
do, fa, mi, do, so
do, fa, mi, fa, mi
do, fa, mi, la, la
do, fa, mi, la, re
do, fa, mi, la, so
do, fa, mi, mi, fa
do, fa, mi, mi, la
do, fa, mi, re, fa
do, fa, mi, re, la
do, fa, mi, re, re
do, fa, re, do, fa
do, fa, re, do, ti
do, fa, re, la, fa
do, fa, re, la, re
do, fa, re, la, so
do, fa, re, la, ti
do, fa, re, mi, do
do, fa, re, mi, mi
do, fa, re, mi, re
do, fa, re, re, do
do, fa, re, re, so
do, fa, re, so, do
do, fa, re, ti, do
do, fa, so, do, re
do, fa, so, fa, re
do, fa, so, fa, so
do, fa, so, la, do
do, fa, so, la, mi
do, fa, so, la, re
do, fa, so, la, so
do, fa, so, la, ti
do, fa, so, mi, la
do, fa, so, mi, re
do, fa, so, re, la
do, fa, so, re, mi
do, fa, so, re, so
do, fa, so, so, mi
do, fa, so, so, re
do, fa, so, so, so
do, fa, so, ti, do
do, fa, so, ti, so
do, fa, so, ti, ti
do, fa, ti, do, la
do, fa, ti, fa, do
do, fa, ti, fa, la
do, fa, ti, fa, mi
do, fa, ti, fa, so
do, fa, ti, la, do
do, fa, ti, la, fa
do, fa, ti, la, mi
do, fa, ti, la, re
do, fa, ti, la, so
do, fa, ti, la, ti
do, fa, ti, mi, do
do, fa, ti, mi, re
do, fa, ti, mi, so
do, fa, ti, re, mi
do, fa, ti, re, re
do, fa, ti, re, so
do, fa, ti, ti, do
do, la, do, do, re
do, la, do, fa, fa
do, la, do, fa, mi
do, la, do, la, do
do, la, do, la, ti
do, la, do, mi, la
do, la, do, mi, mi
do, la, do, mi, so
do, la, do, re, fa
do, la, do, re, re
do, la, do, so, do
do, la, do, ti, do
do, la, do, ti, fa
do, la, fa, do, so
do, la, fa, do, ti
do, la, fa, fa, re
do, la, fa, la, fa
do, la, fa, la, la
do, la, fa, la, mi
do, la, fa, mi, do
do, la, fa, mi, la
do, la, fa, mi, ti
do, la, fa, so, ti
do, la, fa, ti, mi
do, la, fa, ti, so
do, la, la, do, do
do, la, la, do, fa
do, la, la, do, re
do, la, la, do, so
do, la, la, fa, la
do, la, la, la, re
do, la, la, la, so
do, la, la, so, do
do, la, la, so, fa
do, la, la, so, re
do, la, la, so, so
do, la, la, ti, ti
do, la, mi, do, do
do, la, mi, do, mi
do, la, mi, fa, fa
do, la, mi, la, so
do, la, mi, mi, ti
do, la, mi, re, do
do, la, mi, so, do
do, la, mi, so, mi
do, la, mi, so, ti
do, la, mi, ti, do
do, la, re, do, fa
do, la, re, do, mi
do, la, re, do, so
do, la, re, fa, re
do, la, re, la, ti
do, la, re, re, la
do, la, re, re, re
do, la, re, so, fa
do, la, re, so, re
do, la, so, do, mi
do, la, so, do, re
do, la, so, do, ti
do, la, so, fa, la
do, la, so, fa, re
do, la, so, fa, so
do, la, so, la, ti
do, la, so, mi, re
do, la, so, mi, so
do, la, so, re, fa
do, la, so, re, la
do, la, so, so, mi
do, la, so, ti, do
do, la, so, ti, fa
do, la, so, ti, ti
do, la, ti, do, fa
do, la, ti, do, ti
do, la, ti, la, la
do, la, ti, la, re
do, la, ti, mi, do
do, la, ti, mi, so
do, la, ti, re, fa
do, la, ti, re, la
do, la, ti, re, re
do, la, ti, so, mi
do, la, ti, ti, mi
do, la, ti, ti, ti
do, mi, do, do, la
do, mi, do, do, so
do, mi, do, do, ti
do, mi, do, fa, re
do, mi, do, la, so
do, mi, do, mi, do
do, mi, do, mi, la
do, mi, do, mi, re
do, mi, do, mi, ti
do, mi, do, re, mi
do, mi, do, so, do
do, mi, do, so, mi
do, mi, do, ti, la
do, mi, do, ti, mi
do, mi, do, ti, re
do, mi, fa, do, do
do, mi, fa, do, so
do, mi, fa, do, ti
do, mi, fa, fa, mi
do, mi, fa, mi, do
do, mi, fa, mi, la
do, mi, fa, so, mi
do, mi, fa, so, re
do, mi, fa, ti, mi
do, mi, la, do, la
do, mi, la, do, mi
do, mi, la, do, re
do, mi, la, fa, re
do, mi, la, la, so
do, mi, la, mi, la
do, mi, la, re, ti
do, mi, la, so, fa
do, mi, la, so, mi
do, mi, la, so, re
do, mi, la, ti, fa
do, mi, la, ti, re
do, mi, mi, do, fa
do, mi, mi, do, ti
do, mi, mi, fa, re
do, mi, mi, la, la
do, mi, mi, la, so
do, mi, mi, mi, do
do, mi, mi, mi, fa
do, mi, mi, mi, la
do, mi, mi, mi, mi
do, mi, mi, mi, so
do, mi, mi, re, do
do, mi, mi, re, la
do, mi, mi, so, fa
do, mi, mi, so, mi
do, mi, re, do, so
do, mi, re, la, so
do, mi, re, mi, la
do, mi, re, mi, re
do, mi, re, re, so
do, mi, re, so, do
do, mi, re, so, fa
do, mi, re, so, mi
do, mi, re, so, re
do, mi, re, so, so
do, mi, re, ti, la
do, mi, re, ti, so
do, mi, re, ti, ti
do, mi, so, do, do
do, mi, so, do, ti
do, mi, so, la, mi
do, mi, so, mi, mi
do, mi, so, mi, so
do, mi, so, so, fa
do, mi, so, so, re
do, mi, so, ti, so
do, mi, ti, do, do
do, mi, ti, fa, fa
do, mi, ti, fa, la
do, mi, ti, fa, so
do, mi, ti, la, la
do, mi, ti, mi, ti
do, mi, ti, re, do
do, mi, ti, re, re
do, mi, ti, so, mi
do, mi, ti, ti, la
do, mi, ti, ti, mi
do, mi, ti, ti, so
do, re, do, do, mi
do, re, do, fa, la
do, re, do, fa, so
do, re, do, fa, ti
do, re, do, mi, do
do, re, do, re, mi
do, re, do, so, mi
do, re, do, so, re
do, re, fa, do, do
do, re, fa, do, la
do, re, fa, fa, do
do, re, fa, fa, la
do, re, fa, fa, mi
do, re, fa, la, fa
do, re, fa, la, re
do, re, fa, la, so
do, re, fa, mi, do
do, re, fa, re, do
do, re, fa, so, fa
do, re, fa, so, re
do, re, fa, so, ti
do, re, fa, ti, do
do, re, fa, ti, la
do, re, fa, ti, ti
do, re, la, do, so
do, re, la, la, do
do, re, la, la, la
do, re, la, la, mi
do, re, la, la, re
do, re, la, la, so
do, re, la, mi, re
do, re, la, mi, so
do, re, la, re, so
do, re, la, re, ti
do, re, la, so, fa
do, re, la, ti, do
do, re, mi, do, la
do, re, mi, do, mi
do, re, mi, do, so
do, re, mi, fa, fa
do, re, mi, la, do
do, re, mi, la, fa
do, re, mi, la, ti
do, re, mi, mi, fa
do, re, mi, mi, so
do, re, mi, re, fa
do, re, mi, re, re
do, re, mi, re, ti
do, re, mi, so, fa
do, re, mi, so, so
do, re, mi, so, ti
do, re, mi, ti, re
do, re, mi, ti, ti
do, re, re, do, do
do, re, re, fa, re
do, re, re, re, do
do, re, re, re, la
do, re, re, re, mi
do, re, re, ti, la
do, re, so, do, fa
do, re, so, fa, do
do, re, so, fa, fa
do, re, so, la, ti
do, re, so, mi, do
do, re, so, mi, la
do, re, so, re, do
do, re, so, re, la
do, re, so, re, re
do, re, so, so, re
do, re, so, so, so
do, re, so, ti, fa
do, re, so, ti, mi
do, re, so, ti, ti
do, re, ti, do, mi
do, re, ti, fa, la
do, re, ti, fa, so
do, re, ti, fa, ti
do, re, ti, la, fa
do, re, ti, la, mi
do, re, ti, mi, do
do, re, ti, mi, re
do, re, ti, re, fa
do, re, ti, re, so
do, re, ti, so, mi
do, re, ti, so, re
do, re, ti, so, so
do, re, ti, ti, re
do, so, do, do, mi
do, so, do, fa, do
do, so, do, fa, fa
do, so, do, fa, la
do, so, do, fa, mi
do, so, do, fa, ti
do, so, do, la, mi
do, so, do, la, ti
do, so, do, mi, do
do, so, do, mi, so
do, so, do, mi, ti
do, so, do, re, fa
do, so, do, re, la
do, so, do, re, re
do, so, do, re, so
do, so, do, so, ti
do, so, do, ti, do
do, so, do, ti, la
do, so, fa, do, do
do, so, fa, do, la
do, so, fa, do, re
do, so, fa, fa, fa
do, so, fa, fa, ti
do, so, fa, la, do
do, so, fa, la, ti
do, so, fa, re, ti
do, so, fa, so, la
do, so, fa, so, re
do, so, fa, ti, la
do, so, fa, ti, so
